id,username,email,first_name,last_name,role,is_staff,is_superuser,is_active
1,mohammed.alaoui,mohammed.alaoui@emsi-edu.ma,Mohammed,Alaoui,enseignant,False,False,True
2,etudiant1,etudiant1@emsi-edu.ma,alali,Cherkaoui,etudiant,False,False,True
7,mehdi.belkadi,mehdi.belkadi@emsi-edu.ma,Mehdi,Belkadi,etudiant,False,False,True
8,reda.mernissi,reda.mernissi@emsi-edu.ma,Reda,Mernissi,etudiant,False,False,True
9,omar.ait.omar,omar.ait.omar@emsi-edu.ma,Omar,Ait Omar,etudiant,False,False,True
10,ilyas.cherkaoui,ilyas.cherkaoui@emsi-edu.ma,Ilyas,Cherkaoui,etudiant,False,False,True
12,mehdi.el.alami,mehdi.el.alami@emsi-edu.ma,Mehdi,El Alami,etudiant,False,False,True
13,reda.alaoui,reda.alaoui@emsi-edu.ma,Reda,Alaoui,etudiant,False,False,True
14,omar.mansouri,omar.mansouri@emsi-edu.ma,mohamed,Mansouri,etudiant,False,False,True
15,ilyas.kabbaj,ilyas.kabbaj@emsi-edu.ma,Ilyas,Kabbaj,etudiant,False,False,True
16,rania.fadili,rania.fadili@emsi-edu.ma,Rania,Fadili,etudiant,False,False,True
17,kenza.haddad,kenza.haddad@emsi-edu.ma,Kenza,Haddad,etudiant,False,False,True
18,malak.el.harrak,malak.el.harrak@emsi-edu.ma,Malak,El Harrak,etudiant,False,False,True
19,chaimae.naciri,chaimae.naciri@emsi-edu.ma,Chaimae,Naciri,etudiant,False,False,True
20,ghita.el.alami,ghita.el.alami@emsi-edu.ma,Ghita,El Alami,etudiant,False,False,True
21,bilal.alaoui,bilal.alaoui@emsi-edu.ma,Bilal,Alaoui,etudiant,False,False,True
22,kenza.ait.omar,kenza.ait.omar@emsi-edu.ma,Kenza,Ait Omar,etudiant,False,False,True
23,malak.cherkaoui,malak.cherkaoui@emsi-edu.ma,Malak,Cherkaoui,etudiant,False,False,True
24,chaimae.benomar,chaimae.benomar@emsi-edu.ma,Chaimae,Benomar,etudiant,False,False,True
25,ghita.lahlou,ghita.lahlou@emsi-edu.ma,Ghita,Lahlou,etudiant,False,False,True
26,bilal.amrani,bilal.amrani@emsi-edu.ma,Bilal,Amrani,etudiant,False,False,True
27,saad.chraibi,saad.chraibi@emsi-edu.ma,Saad,Chraibi,etudiant,False,False,True
28,karim.belkadi,karim.belkadi@emsi-edu.ma,Karim,Belkadi,etudiant,False,False,True
29,nabil.mernissi,nabil.mernissi@emsi-edu.ma,Nabil,Mernissi,etudiant,False,False,True
30,walid.ait.omar,walid.ait.omar@emsi-edu.ma,Walid,Ait Omar,etudiant,False,False,True
31,lina.cherkaoui,lina.cherkaoui@emsi-edu.ma,Lina,Cherkaoui,etudiant,False,False,True
32,saad.naciri,saad.naciri@emsi-edu.ma,Saad,Naciri,etudiant,False,False,True
33,karim.el.alami,karim.el.alami@emsi-edu.ma,Karim,El Alami,etudiant,False,False,True
34,nabil.alaoui,nabil.alaoui@emsi-edu.ma,Nabil,Alaoui,etudiant,False,False,True
35,walid.mansouri,walid.mansouri@emsi-edu.ma,Walid,Mansouri,etudiant,False,False,True
36,lina.kabbaj,lina.kabbaj@emsi-edu.ma,Lina,Kabbaj,etudiant,False,False,True
37,hiba.fadili,hiba.fadili@emsi-edu.ma,Hiba,Fadili,etudiant,False,False,True
38,yasmine.haddad,yasmine.haddad@emsi-edu.ma,Yasmine,Haddad,etudiant,False,False,True
39,aya.el.harrak,aya.el.harrak@emsi-edu.ma,Aya,El Harrak,etudiant,False,False,True
40,meriem.naciri,meriem.naciri@emsi-edu.ma,Meriem,Naciri,etudiant,False,False,True
41,youssef.el.alami,youssef.el.alami@emsi-edu.ma,Youssef,El Alami,etudiant,False,False,True
42,hiba.mernissi,hiba.mernissi@emsi-edu.ma,Hiba,Mernissi,etudiant,False,False,True
43,yasmine.ait.omar,yasmine.ait.omar@emsi-edu.ma,Yasmine,Ait Omar,etudiant,False,False,True
44,aya.cherkaoui,aya.cherkaoui@emsi-edu.ma,Aya,Cherkaoui,etudiant,False,False,True
45,meriem.benomar,meriem.benomar@emsi-edu.ma,Meriem,Benomar,etudiant,False,False,True
46,youssef.lahlou,youssef.lahlou@emsi-edu.ma,Youssef,Lahlou,etudiant,False,False,True
47,mehdi.amrani,mehdi.amrani@emsi-edu.ma,Mehdi,Amrani,etudiant,False,False,True
48,reda.chraibi,reda.chraibi@emsi-edu.ma,Reda,Chraibi,etudiant,False,False,True
49,omar.belkadi,omar.belkadi@emsi-edu.ma,Omar,Belkadi,etudiant,False,False,True
50,ilyas.mernissi,ilyas.mernissi@emsi-edu.ma,Ilyas,Mernissi,etudiant,False,False,True
51,rania.ait.omar,rania.ait.omar@emsi-edu.ma,Rania,Ait Omar,etudiant,False,False,True
52,mehdi.el.harrak,mehdi.el.harrak@emsi-edu.ma,Mehdi,El Harrak,etudiant,False,False,True
53,reda.naciri,reda.naciri@emsi-edu.ma,Reda,Naciri,etudiant,False,False,True
54,omar.el.alami,omar.el.alami@emsi-edu.ma,Omar,El Alami,etudiant,False,False,True
55,ilyas.alaoui,ilyas.alaoui@emsi-edu.ma,Ilyas,Alaoui,etudiant,False,False,True
56,rania.mansouri,rania.mansouri@emsi-edu.ma,Rania,Mansouri,etudiant,False,False,True
57,kenza.kabbaj,kenza.kabbaj@emsi-edu.ma,Kenza,Kabbaj,etudiant,False,False,True
